Loading args...
Initialized args, start initializing models
start parsing args...
Successfully allocated device:  cuda
Successfully initialized the environment
Sequential(
  (0): Linear(in_features=30, out_features=256, bias=True)
  (1): LeakyReLU(negative_slope=0.01)
  (2): Linear(in_features=256, out_features=256, bias=True)
  (3): LeakyReLU(negative_slope=0.01)
  (4): Linear(in_features=256, out_features=61, bias=True)
)
Successfully initialized the optimizer, start training
round 6101, mean_R=0.02414253788189179, mean_top_k_R=0.24198894888162614, num_unique_Rs=96588
round 6201, mean_R=0.024080293331775908, mean_top_k_R=0.24198894888162614, num_unique_Rs=98162
round 6301, mean_R=0.02401517765461231, mean_top_k_R=0.24239166289567948, num_unique_Rs=99738
round 6401, mean_R=0.023982228451074505, mean_top_k_R=0.24243905037641525, num_unique_Rs=101314
round 6501, mean_R=0.02394063119237197, mean_top_k_R=0.24276932194828987, num_unique_Rs=102885
round 6601, mean_R=0.023894882189758136, mean_top_k_R=0.24276932194828987, num_unique_Rs=104455
round 6701, mean_R=0.02386815127830067, mean_top_k_R=0.24287818610668183, num_unique_Rs=106031
round 6801, mean_R=0.023829662675331025, mean_top_k_R=0.24287818610668183, num_unique_Rs=107600
round 6901, mean_R=0.023793236468318733, mean_top_k_R=0.24287818610668183, num_unique_Rs=109178
round 7001, mean_R=0.023736354467498114, mean_top_k_R=0.24287818610668183, num_unique_Rs=110748
round 7101, mean_R=0.02369901048255971, mean_top_k_R=0.24287818610668183, num_unique_Rs=112322
round 7201, mean_R=0.02363839878645399, mean_top_k_R=0.24287818610668183, num_unique_Rs=113891
round 7301, mean_R=0.023600244114394736, mean_top_k_R=0.24287818610668183, num_unique_Rs=115460
round 7401, mean_R=0.023573650690892133, mean_top_k_R=0.24287818610668183, num_unique_Rs=117032
round 7501, mean_R=0.02353328729654874, mean_top_k_R=0.24287818610668183, num_unique_Rs=118600
round 7601, mean_R=0.023520129020975476, mean_top_k_R=0.2431921650469303, num_unique_Rs=120173
round 7701, mean_R=0.023486727831424588, mean_top_k_R=0.2431921650469303, num_unique_Rs=121730
round 7801, mean_R=0.02345892732703513, mean_top_k_R=0.2433684653043747, num_unique_Rs=123305
round 7901, mean_R=0.02343222617208759, mean_top_k_R=0.2435118578374386, num_unique_Rs=124875
round 8001, mean_R=0.023381271523071942, mean_top_k_R=0.2435118578374386, num_unique_Rs=126436
round 8101, mean_R=0.02334167255504927, mean_top_k_R=0.24396726235747337, num_unique_Rs=127999
round 8201, mean_R=0.02331363727969019, mean_top_k_R=0.24421118393540384, num_unique_Rs=129565
round 8301, mean_R=0.023275474907466724, mean_top_k_R=0.24422566443681717, num_unique_Rs=131133
round 8401, mean_R=0.023247194785513483, mean_top_k_R=0.24506777465343477, num_unique_Rs=132702
round 8501, mean_R=0.023228760422364495, mean_top_k_R=0.2454198645055294, num_unique_Rs=134258
round 8601, mean_R=0.02320197263771097, mean_top_k_R=0.24580080270767213, num_unique_Rs=135824
round 8701, mean_R=0.023172257188946846, mean_top_k_R=0.2459136089682579, num_unique_Rs=137380
round 8801, mean_R=0.023144232760031795, mean_top_k_R=0.24632162645459174, num_unique_Rs=138940
round 8901, mean_R=0.02310792533525829, mean_top_k_R=0.24632162645459174, num_unique_Rs=140501
round 9001, mean_R=0.023076183864905755, mean_top_k_R=0.24658821821212767, num_unique_Rs=142072
round 9101, mean_R=0.023029412511680867, mean_top_k_R=0.24658821821212767, num_unique_Rs=143641
round 9201, mean_R=0.022998569357804997, mean_top_k_R=0.2469511942565441, num_unique_Rs=145198
round 9301, mean_R=0.022971798046435357, mean_top_k_R=0.24757010757923126, num_unique_Rs=146760
round 9401, mean_R=0.022946202825189197, mean_top_k_R=0.24779151648283004, num_unique_Rs=148320
round 9501, mean_R=0.02291450638230671, mean_top_k_R=0.24782604455947876, num_unique_Rs=149888
round 9601, mean_R=0.022899900426563546, mean_top_k_R=0.24782604455947876, num_unique_Rs=151440
round 9701, mean_R=0.02286907471230382, mean_top_k_R=0.24782604455947876, num_unique_Rs=153009
round 9801, mean_R=0.022851126335617294, mean_top_k_R=0.24782604455947876, num_unique_Rs=154567
round 9901, mean_R=0.022830862301100863, mean_top_k_R=0.24782604455947876, num_unique_Rs=156136
round 10001, mean_R=0.022790972945115513, mean_top_k_R=0.24782604455947876, num_unique_Rs=157706
